depot_id,ttl_td_id,ttl_captain_id,ttl_point_a,ttl_point_b,max_diff_minutes_from_point_a,max_diff_minutes_idle_mode,max_diff_minutes_to_point_a,min_diff_minutes_from_point_a,min_diff_minutes_idle_mode,min_diff_minutes_to_point_a,avg_diff_minutes_from_point_a,avg_diff_minutes_idle_mode,avg_diff_minutes_to_point_a,med_diff_minutes_from_point_a,med_diff_minutes_idle_mode,med_diff_minutes_to_point_a,max_speed,min_speed,avg_speed,med_speed,ttl_td_completed,WaktuSebelumProblem,WaktuSebelumInspection,WaktuDiambikUtkRepair,labelencoded,busencoded,point_aencoded,point_bencoded,line_id_yencoded,br_idencoded,br_repair_statusencoded,br_entry_statusencoded,line_id_x_en,rtd_cause_en,br_ttl_days_en,rtd_id_en,route_id_en,bus_model_id_en,driver_id_en,capt_id_en,newlabel_en,prediction_label,prediction_score
5,12,1,1,1,96.4,54.1,73.7,58.033333,0.8666667,67.48333,73.494446,20.61,70.18889,66.05,2.9666667,69.38333,25.0,3.0,14.0,14.0,12.0,0.0,0.0,0.0,2,81,88,101,143,-1,-1,-1,143,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,20,1,1,1,63.0,187.0,69.666664,42.8,0.0,39.266666,52.423332,31.975925,53.133335,49.8,2.5166667,51.283333,20.0,7.0,14.083333,14.0,20.0,0.0,0.0,0.0,2,143,105,101,145,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,32,2,1,1,55.3,59.083332,69.26667,40.166668,0.76666665,36.933334,50.983334,18.76,52.097916,54.225,11.483334,53.775,23.0,1.0,13.545455,14.5,32.0,0.0,0.0,0.0,2,115,105,101,145,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,30,1,1,1,74.666664,65.78333,76.833336,37.75,0.0,0.0,54.642857,20.325,47.891666,51.933334,14.966666,50.583332,23.0,3.0,12.619047,12.0,30.0,0.0,0.0,0.0,2,68,105,101,145,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,24,1,1,1,54.8,47.15,58.6,48.8,1.2666667,45.95,52.577778,19.080303,50.677776,53.691666,9.233334,50.133335,25.0,8.0,15.857142,15.5,24.0,0.0,0.0,0.0,2,126,105,101,145,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,24,1,1,1,75.78333,46.583332,60.716667,47.6,1.0,44.616665,58.05,18.495455,50.075,56.108334,16.033333,47.108334,24.0,3.0,12.461538,12.0,24.0,0.0,0.0,0.0,2,142,105,101,145,-1,-1,-1,145,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,1.0,0.0,0.0,0.0,2,432,66,102,146,-1,-1,-1,146,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,24,1,1,1,65.666664,401.96667,63.283333,40.333332,1.0,47.616665,49.719444,49.52778,53.73611,45.833332,15.158334,51.166668,44.0,11.0,28.4,28.0,24.0,0.0,0.0,0.0,2,432,66,102,146,-1,-1,-1,146,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,56,1,1,1,20.1,39.7,13.2,8.5,1.15,7.0333333,12.113095,18.724073,9.590476,11.333333,7.616667,9.391666,64.0,8.0,31.218182,30.0,56.0,0.0,0.0,0.0,2,430,97,47,103,-1,-1,-1,103,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,4,1,1,1,21.683332,2.35,17.633333,21.683332,2.35,17.633333,21.683332,2.35,17.633333,21.683332,2.35,17.633333,24.0,7.0,16.75,18.0,4.0,0.0,0.0,1.0,1,340,33,137,96,574,3,100,96,10,1,502,36,4,480,-1,1,1,1.0
7,4,1,1,1,21.683332,2.35,17.633333,21.683332,2.35,17.633333,21.683332,2.35,17.633333,21.683332,2.35,17.633333,24.0,7.0,16.75,18.0,4.0,0.0,0.0,0.0,3,340,33,137,96,-1,-1,-1,96,10,-1,502,36,4,480,-1,1,1,1.0
5,2,1,1,1,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,32.0,50.0,50.0,50.0,50.0,2.0,0.0,0.0,0.0,2,372,48,21,149,-1,-1,-1,149,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,40,2,1,1,60.766666,299.25,44.983334,24.0,0.5,24.5,33.591667,37.115833,32.405,30.0,16.208334,31.75,35.0,3.0,16.774193,16.0,40.0,0.0,0.0,0.0,2,372,48,102,148,-1,-1,-1,148,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
7,49,2,1,1,25.766666,130.51666,58.916668,14.483334,0.0,23.516666,19.734722,16.181944,33.005554,19.7,2.3083334,29.066668,39.0,5.0,19.5,18.5,49.0,0.0,0.0,0.0,2,348,94,33,100,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,30,1,1,1,141.46666,50.583332,6.5,75.0,0.0,3.0,110.370834,12.410714,3.8547618,116.28333,3.0,3.4833333,48.0,3.0,29.310345,33.0,30.0,0.0,0.0,0.0,2,364,111,89,79,-1,-1,-1,79,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,20,1,1,1,64.98333,59.416668,69.5,44.483334,0.5,43.5,49.836666,24.47963,53.106667,45.7,1.5,49.0,35.0,3.0,20.947369,24.0,20.0,0.0,0.0,0.0,2,394,21,65,140,-1,-1,-1,140,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
5,42,2,1,1,34.0,45.0,69.5,21.0,0.0,30.5,27.048334,13.675,45.31515,26.991667,7.75,41.0,29.0,1.0,14.294118,14.0,42.0,0.0,0.0,0.0,2,362,106,79,92,-1,-1,-1,92,-1,-1,-1,-1,-1,-1,-1,0,0,1.0
